arm,seed,case,env_id,fall_by_height_channel,fall_by_tilt_channel,fall_by_either,max_continuous_low_height_s,max_continuous_tilted_s,terrain_z_min,terrain_z_max,terrain_z_span_m
A038,101,stairs_10_down,28,1,0,1,17.26,0.0,-0.7000014259215982,-0.6064176712444121,0.09358375467718605
A038,101,stairs_10_down,29,1,0,1,16.24,0.0,-0.7000008037383544,-0.5818183511336219,0.11818245260473248
A038,101,stairs_10_down,30,1,0,1,12.3,0.0,-0.7000015687177525,-0.5379679980762502,0.16203357064150237
A038,101,stairs_10_down,31,1,0,1,7.0,0.0,-0.7000017523128081,-0.6069520348533589,0.09304971745944923
A038,202,stairs_10_down,0,1,0,1,17.96,0.0,-0.7000008037383544,-0.6090911314449209,0.0909096722934335
A038,202,stairs_10_down,1,1,0,1,13.96,0.0,-0.7000008547369809,-0.6064172938545758,0.09358356088240516
A038,202,stairs_10_down,2,1,0,1,2.82,0.0,-0.7000015993169285,-0.543850424455449,0.15615117486147956
A038,202,stairs_10_down,3,1,0,1,5.76,0.0,-0.7000015381185766,-0.5342245356921844,0.16577700242639215
A038,202,stairs_10_down,4,1,0,1,4.6,0.0,-0.7000015993169285,-0.6058833484343666,0.09411825088256187
A038,202,stairs_10_down,5,1,0,1,9.98,0.16,-0.7000007527397278,-0.5267382535067472,0.17326249923298065
A038,202,stairs_10_down,6,1,0,1,15.98,0.0,-0.6994666339241885,-0.5914444744905686,0.10802215943361992
A038,202,stairs_10_down,7,1,0,1,12.78,0.0,-0.698397151926622,-0.5235292567288812,0.17486789519774082
A038,202,stairs_10_down,8,1,0,1,0.6,0.0,-0.7000014463210489,-0.6117644386495499,0.088237007671499
A038,202,stairs_10_down,9,1,0,1,14.04,0.0,-0.7000012117273667,-0.5443844922723617,0.155616719455005
A038,202,stairs_10_down,10,1,0,1,14.14,0.0,-0.7000012627259933,-0.5770054373511656,0.12299582537482767
A038,202,stairs_10_down,11,1,0,1,14.74,0.0,-0.7000012627259933,-0.5695186451794629,0.13048261754653034
A038,202,stairs_10_down,12,1,0,1,9.42,0.3,-0.7000002223540117,-0.5267378965163614,0.17326232583765033
A038,202,stairs_10_down,13,1,0,1,14.76,0.0,-0.7000012933251692,-0.5796793667390385,0.12032192658613072
A038,202,stairs_10_down,14,1,0,1,8.84,0.0,-0.7000011811281908,-0.6069517696605009,0.09304941146768986
A038,202,stairs_10_down,15,1,0,1,10.9,0.0,-0.7000012627259933,-0.5433153468657305,0.15668591586026281
A038,202,stairs_10_down,16,1,0,1,0.64,0.0,-0.7000014055221476,-0.5235293281269583,0.17647207739518933
A038,202,stairs_10_down,17,1,0,1,4.78,0.0,-0.7000012423265427,-0.606951871657754,0.09304937066878871
A038,202,stairs_10_down,18,1,0,1,5.26,0.0,-0.7000012423265427,-0.5235291037330015,0.17647213859354116
A038,202,stairs_10_down,19,1,0,1,3.58,0.0,-0.7000013239243451,-0.534224556091635,0.16577676783271011
A038,202,stairs_10_down,20,1,0,1,12.98,0.0,-0.7000013545235211,-0.5310159673027813,0.16898538722073975
A038,202,stairs_10_down,21,1,0,1,11.54,0.0,-0.7000004569476939,-0.5358285648937531,0.16417189205394078
A038,202,stairs_10_down,22,1,0,1,8.8,0.0,-0.6994657975467131,-0.5449196820590585,0.15454611548765462
A038,202,stairs_10_down,23,1,0,1,15.28,0.0,-0.7000012831254439,-0.5866311017204734,0.11337018140497046
A038,202,stairs_10_down,24,1,0,1,13.94,0.4,-0.6994660219406699,-0.511764903757024,0.18770111818364588
