arm,case,seed,env_id,observed,valid_seconds,stall_seconds,stall_share,first_step_time_s,censored,reason
CreatorTemp,stairs_10_down,101,6,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,7,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,8,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,9,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,10,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,11,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,12,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,13,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,14,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,15,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,16,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,17,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,18,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,19,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,20,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,21,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,22,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,23,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,24,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,25,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,26,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,27,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,28,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,29,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,30,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,31,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,0,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,1,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,2,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,3,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,4,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,5,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,6,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,7,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,8,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,9,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,10,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,11,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,12,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,13,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,14,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,15,False,,,,,,environment absent from steps.csv
